지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
90,1/1/1968,,속초,강원도 고성군토성면 봉포5길9 속초자동기상관측소 ,속초기상대(90),38.2509,128.5647,17.53,18.73,1.7,10,1.4
93,10/1/2016,,북춘천,강원도 춘천시신북읍 산천리264(장본1길 12) 춘천기상대,춘천기상대(101),37.9474,127.7544,95.78,96.78,1.5,10,1.4
95,1/1/1988,,철원,강원도 철원군갈말읍 명성로179번길 26 철원자동기상관측소,춘천기상대(101),38.1479,127.3042,155.48,156.98,1.8,13,1.5
98,2/1/1998,,동두천,경기도 동두천시방죽로 16-47동두천서비스센터  ,수도권기상청(119),37.9019,127.0607,115.62,116.74,1.7,10,1
99,10/22/2013,,파주,경기도 파주시문산읍 마정로46-29(파주기상대)  ,수도권기상청(119),37.8859,126.7665,30.59,31.99,1.7,10,1
99,12/7/2001,10/22/2013,문산,경기도 파주시문산읍 마정로46-29(파주기상대)  ,파주기상대(99),37.8859,126.7665,29.42,31.4,1.7,10,0.5
100,11/7/2006,,대관령,강원도 평창군대관령면 경강로5372 대관령자동기상관측소 ,대관령기상대(100),37.6771,128.7183,772.43,773.43,1.7,10,1.4
100,7/15/1971,11/6/2006,대관령,강원도 평창군대관령면 경강로5372 대관령자동기상관측소 ,,37.6869,128.7587,842.52,843.96,1.5,10,1.6
101,1/1/1966,,춘천,강원도 춘천시충열로 91번길12 춘천자동기상관측소 ,춘천기상대(101),37.9026,127.7357,75.82,77.05,1.5,10,1.4
102,5/1/2018,,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.974,124.7124,36,37.2,1.8,9,1.2
102,11/1/2000,5/1/2018,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.9661,124.6305,146,147.2,1.8,9,1.2
104,7/28/2008,,북강릉,강원도 강릉시사천면 과학단지로130 강원지방기상청 ,강릉(구 105),37.8046,128.8554,75.24,76.67,1.7,10,1.4
105,10/3/1911,,강릉,강원도 강릉시용강동 63-20강릉자동기상관측소  ,강릉(구 105),37.7515,128.891,27.12,28.22,1.7,10,0.5
106,5/1/1992,,동해,강원도 동해시중앙로 31동해자동기상관측소  ,동해기상대(106),37.5071,129.1243,40.46,41.66,1.7,10,1.4
108,8/16/2010,,서울,서울특별시 종로구송월길 52서울기상관측소  ,서울기상관측소(108),37.5714,126.9658,85.67,86.67,1.5,10,0.5
108,10/1/1907,8/15/2010,서울,서울특별시 종로구송월길 52서울기상관측소  ,서울기상관측소(108),37.5714,126.9658,85.5,86.5,1.5,10,0.6
112,10/22/2013,,인천,인천광역시 중구전동 25번지인천기상대  ,인천기상대(112),37.4777,126.6249,68.99,70.19,1.6,10,1.2
112,8/29/1904,10/22/2013,인천,인천광역시 중구전동 25번지인천기상대  ,인천기상대(112),37.4776,126.6244,68.15,70.15,1.5,10,0.6
114,9/6/1971,,원주,강원도 원주시단구로 159원주자동기상관측소  ,원주기상대(114),37.3375,127.9466,150.11,151.11,1.7,14,1.4
115,8/10/1938,,울릉도,,울릉도기상대(115),37.4813,130.8986,222.4,223.7,1.6,10,1.3
116,1/1/1984,12/31/1990,관악산,경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4442,126.9639,626.76,627.96,1.4,3.9,1.1
119,7/24/2019,,수원,경기도 수원시권선구 권선로276  ,,37.2575,126.983,39.81,40.81,1.6,18.7,1.1
119,1/1/1964,7/24/2019,수원,경기도 수원시권선구 권선로276  ,수도권기상청(119),37.2723,126.9853,34.84,35.84,1.6,18.7,1.1
121,12/1/1994,,영월,강원도 영월군영월읍 영월로1894-25 영월지역기상서비스센터 ,영월기상대(121),37.1813,128.4574,240.85,242.05,1.7,10,1.4
127,1/1/1972,,충주,충청북도 충주시안림로 55(안림동 521-5번지) ,청주기상대(131),36.9705,127.9525,114.85,116.25,1.65,10,1
129,1/1/1968,,서산,충청남도 서산시수석1길 124-1  ,홍성기상대(서산 129),36.7766,126.4939,25.25,26.55,1.6,20.2,1.1
130,1/12/1971,,울진,,대구(구 143),36.9918,129.4128,48.98,50.18,1.75,10,1.3
131,1/1/1967,,청주,충청북도 청주시흥덕구 공단로76 청주기상지청 ,청주기상대(131),36.6392,127.4407,58.7,60.1,1.7,10,0.8
133,1/1/1969,,대전,대전광역시 유성구대학로 383(대전광역시 유성구 구성동22),대전지방기상청(133),36.372,127.3721,70.22,71.12,1.6,19.8,1.2
135,1/11/1937,,추풍령,충청북도 영동군추풍령면 관리길25-15 추풍령지역기상서비스센터 ,청주기상대(131),36.2203,127.9946,244.98,246.18,1.6,10,1.1
136,1/1/1983,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,141.26,142.76,1.8,10,1.3
136,1/1/1973,5/1/1978,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,,36.573,128.7073,139.39,141.4,1.5,10,0.6
137,1/1/2002,,상주,,대구(구 143),36.4084,128.1574,96.58,97.98,1.8,10,1.4
138,1/1/1943,,포항,,포항기상대(138),36.032,129.38,3.94,4.92,1.6,10,1.2
140,12/31/2003,,군산,전라북도 군산시내흥동 425-10호군산지역기상서비스센터  ,전주기상대(146),36.0053,126.7614,23.2,24.6,1.7,10,1
140,1/1/1968,12/1/2003,군산,전라북도 군산시내흥동 425-10호군산지역기상서비스센터  ,,35.993,126.7057,25.57,30.74,1.5,18,0.6
143,8/25/2017,,대구,,대구(구 143),35.878,128.653,54.27,55.52,1.8,10,0.6
143,1/31/1907,8/25/2017,대구,,대구(구 143),35.8282,128.6522,53.4,54.9,1.8,10,0.6
146,7/1/2015,,전주,전라북도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8408,127.119,61.4,62.9,1.6,10,1.4
146,6/23/1918,7/1/2015,전주,전라북도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8215,127.155,53.4,62.4,1.8,18.4,0.6
152,8/25/2017,,울산,울산광역시 중구달빛로 65-26(약사동)울산기상대  ,울산기상대(152),35.5825,129.3347,82,83.2,1.8,10,1.3
152,4/1/2016,8/25/2017,울산,울산광역시 중구달빛로 65-26(약사동)울산기상대  ,울산기상대(152),35.5826,129.3344,82,83.2,1.8,10,0.6
152,1/6/1932,4/1/2016,울산,울산광역시 중구달빛로 65-26(약사동)울산기상대  ,울산기상대(152),35.5601,129.3203,34.57,35.8,1.5,12,0.5
155,7/22/2010,,창원,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,창원기상대(155),35.1702,128.5729,37.6,39.1,1.7,10,1.3
155,12/16/2004,7/21/2010,마산,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,,35.1671,128.5751,36.8,37.9,1.7,10,0.5
155,7/1/1985,12/15/2004,마산,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,,35.1903,128.5652,11.25,4.9,1.5,17.6,0.6
156,5/1/1939,,광주,광주광역시 북구운암동 산1번지  ,광주지방기상청(156),35.1729,126.8916,72.38,73.9,1.7,17.5,0.8
159,4/9/1904,,부산,부산광역시 중구복병산길 32번길43962 부산기상관측소 ,부산지방기상청(159),35.1047,129.032,69.56,70.9,1.5,18,1.3
162,1/1/1968,,통영,경상남도 통영시망일1길 67통영지역기상서비스센터  ,부산지방기상청(159),34.8455,128.4356,32.3,33.2,1.5,18,1.3
164,1/1/1993,7/31/2000,무안,,,35.0938,126.2851,24.49,25.03,1.5,12.6,0.6
165,10/31/2019,,목포,전라남도 목포시연산동 726-3번지목포기상대  ,목포기상대(165),34.8173,126.3815,44.7,39.2,1.5,14.5,1
165,4/8/1904,10/31/2019,목포,전라남도 목포시연산동 726-3번지목포기상대  ,목포기상대(165),34.8169,126.3812,38,39.2,1.5,14.5,1
168,3/1/1942,,여수,전라남도 여수시고소동 304  ,여수기상대(168),34.7393,127.7406,64.64,66.1,1.5,13,0.6
169,1/1/1997,,흑산도,전라남도 신안군흑산면 예리3길 21-90 흑산도관측소,흑산도기상대(169),34.6872,125.451,76.49,78,1.5,15.5,0.6
170,1/31/1971,,완도,전라남도 완도군군외면 청해진로795-3 (불목리 26),목포기상대(165),34.3959,126.7018,35.24,36.7,1.5,10,0.8
172,12/1/2010,,고창,전라북도 고창군대산면 매산리399-13  ,전주기상대(146),35.3489,126.599,52,53.5,1.8,10,1.7
174,4/1/2011,,순천,전라남도 순천시승주읍 평중리230번지 순천지역기상서비스센터 ,광주지방기상청(156),35.0204,127.3694,165,166.5,1.5,10,0.8
175,11/3/2001,8/1/2018,진도(첨찰산),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,478.51,479.76,1.5,10,0.8
176,10/10/2013,6/11/2015,대구(기),,대구기상대(176),35.8782,128.6522,49,50.2,1.8,10,0.6
177,10/31/2017,,홍성,충청남도 홍성군홍북읍 신경리872(홍성기상대)  ,,36.6576,126.6877,27.74,28.7,1.5,10,1.5
177,11/3/2015,10/31/2017,홍성(예),충청남도 홍성군홍북읍 신경리872(홍성기상대)  ,홍성기상대(서산 129),36.6575,126.6877,20,,,10,
184,5/1/1923,,제주,제주특별자치도 제주시동문로 9길43843 제주지방기상청 ,제주지방기상청(184),33.5141,126.5297,20.79,21.99,1.7,15,1.5
185,1/1/1988,,고산,제주특별자치도 제주시한경면 노을해안로1013-70 고산레이더관측소 ,제주지방기상청(184),33.2938,126.1628,71.39,72.49,1.7,10,1.5
187,3/27/2007,9/4/2008,성산,,,33.3868,126.8804,18,20.48,1.8,10.2,0.6
188,9/4/2008,,성산,제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ,제주지방기상청(184),33.3868,126.8802,20.34,21.74,1.7,10,1.5
188,7/15/1971,9/4/2008,성산,제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ,성산지역기상서비스센터(188),33.3868,126.8804,18.4,20.1,1.5,10,0.6
189,11/9/2010,,서귀포,제주특별자치도 서귀포시태평로 439번길17 서귀포관측소 ,제주지방기상청(184),33.2462,126.5653,51.86,53.16,1.7,10,1.5
189,1/1/1961,11/9/2010,서귀포,제주특별자치도 서귀포시태평로 439번길17 서귀포관측소 ,서귀포지역기상서비스센터(189),33.2461,126.5653,50.4,51.6,1.8,10,0.6
192,11/23/2005,,진주,경상남도 진주시남강로 43진주지역기상서비스센터  ,창원기상대(155),35.1638,128.04,30.21,31.6,1.8,10,1.3
192,3/1/1969,11/23/2005,진주,경상남도 진주시남강로 43진주지역기상서비스센터  ,,35.2084,128.1191,21.32,22.64,1.5,10,0.6
201,1/11/1972,,강화,인천광역시 강화군불은면 삼성리811-1 강화기상관측소 ,인천기상대(112),37.7074,126.4463,47.84,49.24,1.6,10,0.6
202,1/11/1972,,양평,경기도 양평군양평읍 시민로20번길 43844 양평자동기상관측소,수도권기상청(119),37.4886,127.4945,47.26,48.76,1.9,10,0.6
203,1/11/1972,,이천,경기도 이천시부발읍 대산로546번길 8 이천기상서비스센터,수도권기상청(119),37.264,127.4842,80.09,81.59,1.8,10,0.6
211,12/1/1971,,인제,강원도 인제군인제읍 비봉로44번길 93 인제자동기상관측소,인제자동기상관측소(211),38.0599,128.1671,201.78,202.78,1.5,10,0.5
212,9/27/1971,,홍천,강원도 홍천군홍천읍 연봉동로27 홍천자동기상관측소 ,춘천기상대(101),37.6836,127.8804,140.2,141.2,1.6,13,0.5
214,2/28/1971,1/1/1996,삼척,,,37.3667,129.2167,3.9,5.4,1.5,10,0.6
216,8/1/1985,,태백,강원도 태백시문예1길 45태백자동기상관측소  ,태백자동기상관측소(216),37.1704,128.9893,714.45,715.25,1.6,16,0.6
217,8/6/2010,,정선군,강원도 정선군정선읍 북실리773-7 정선공동기상관측소 ,,37.3815,128.6459,307.58,309,1.8,10,0.6
221,1/11/1972,,제천,충청북도 제천시대학로 123(신월동 348번지) 제천기상관측소,청주기상대(131),37.1593,128.1943,264.62,265.39,1.5,10,0.5
226,1/9/1972,,보은,충청북도 보은군보은읍 성주길57 보은자동기상관측소 ,청주기상대(131),36.4876,127.7342,171.31,172.71,1.5,10,0.5
232,4/1/2016,,천안,충청남도 천안시동남구 병천면병천리 263-3(천안지역기상서비스센터) ,대전지방기상청(133),36.7624,127.2927,81.5,83,1.8,10,1.2
232,1/8/1972,4/1/2016,천안,충청남도 천안시동남구 병천면병천리 263-3(천안지역기상서비스센터) ,천안지역기상서비스센터(232),36.7796,127.1213,21.3,22.6,1.8,9.5,0.6
235,1/24/1972,,보령,충청남도 보령시대해로 450보령지역기상서비스센터  ,대전지방기상청(133),36.3272,126.5574,9.98,17,1.6,10,1.1
236,1/9/1972,,부여,충청남도 부여군부여읍 금성로63 부여기상관측소 ,대전지방기상청(133),36.2724,126.9208,13.42,14.88,1.7,10,0.5
238,1/9/1972,,금산,충청남도 금산군금산읍 비단로410-8 금산자동기상관측소 ,대전지방기상청(133),36.1056,127.4818,172.69,173.99,1.5,10,0.5
239,4/1/2020,,세종,세종특별자치시 새롬동산 61  ,대전지방기상청(133),36.4864,127.235,94,95,1.6,10,1
239,5/31/2019,4/1/2020,세종(예),세종특별자치시 새롬동산 61  ,대전지방기상청(133),36.4864,127.235,94,95,1.6,10,1
243,3/1/1972,,부안,전라북도 부안군행안면 역리315-1번지 부안기상관측소 ,전주기상대(146),35.7295,126.7166,11.96,13.5,1.8,10,0.6
244,6/2/1970,,임실,전라북도 임실군임실읍 운수로58임실자동기상관측소  ,전주기상대(146),35.612,127.2856,247.04,248.44,1.8,10,0.6
245,11/1/2016,,정읍,전라북도 정읍시서부산업도로 168-43국립전북기상과학관  ,전주기상대(146),35.5631,126.8392,69.84,70.97,1.9,10,1
245,1/5/1970,11/1/2016,정읍,전라북도 정읍시서부산업도로 168-43국립전북기상과학관  ,전주기상대(146),35.5632,126.8661,44.6,46.1,1.7,10,0.6
247,8/25/2017,,남원,전라북도 남원시춘향로 74-32남원지역기상서비스센터  ,전주기상대(146),35.4213,127.3965,132.5,91.8,1.7,10,0.7
247,8/1/2013,8/25/2017,남원,전라북도 남원시춘향로 74-32남원지역기상서비스센터  ,전주기상대(146),35.4023,127.3967,127.48,91.8,1.7,10,0.7
247,1/4/1972,8/1/2013,남원,전라북도 남원시춘향로 74-32남원지역기상서비스센터  ,남원기상대(247),35.4054,127.333,90.29,94.7,1.8,10,0.6
248,1/1/1988,,장수,전라북도 장수군장수읍 선창리373-3 (장수자동관측소) ,전주기상대(146),35.657,127.5203,406.49,408,1.6,10,0.5
251,12/1/2010,,고창군,전라북도 고창군고창군 중거리당산로27364 상하수도사업소 ,전주기상대(146),35.4266,126.697,54,55.5,1.7,10,0.6
251,11/28/2008,11/30/2010,고창,전라북도 고창군고창군 중거리당산로27364 상하수도사업소 ,고창기상대(미사용 251),35.4266,126.697,54,55.3,1.8,10,0.7
251,11/1/2007,11/28/2008,고창,전라북도 고창군고창군 중거리당산로27364 상하수도사업소 ,고창기상대(미사용 251),35.4251,126.699,54.02,55.32,1.5,10,0.5
252,11/26/2007,,영광군,전라남도 영광군복호로 7영광군 현장방사능방재지휘센터 ,광주지방기상청(156),35.2837,126.4778,37.2,38.7,1.5,13,0.6
253,2/13/2008,,김해시,경상남도 김해시부원동 121번지  ,부산지방기상청(159),35.2267,128.893,53.34,54.6,1.7,10,0.5
254,7/16/2008,,순창군,전라북도 순창군순창읍 교성리258 순창군공설운동장 ,전주기상대(146),35.3714,127.1286,127,128.4,1.6,10,0.6
255,7/22/2010,,북창원,경상남도 창원시성산구 외동반림로93 외동배수지 ,창원기상대(155),35.2264,128.6725,48.8,50.3,1.8,10,0.7
255,12/26/2008,7/21/2010,창원시,경상남도 창원시성산구 외동반림로93 외동배수지 ,,35.2264,128.6725,46.77,48.12,1.8,10,0.6
256,4/1/2011,7/2/2012,주암,,순천기상대(174),35.075,127.2391,74.63,75.4,1.5,14,0.6
256,1/21/1972,4/1/2011,순천,,순천기상대(미사용 256),35.075,127.2391,74.4,75.4,1.5,14,0.6
257,12/26/2008,,양산시,경상남도 양산시동면 강변로54 수질정화공원 ,울산기상대(152),35.3072,129.02,14.85,16.1,1.8,10,0.6
258,3/11/2010,,보성군,전라남도 보성군득량면 예당리3046-2번지  ,여수기상대(168),34.7633,127.2123,2.8,4.3,1.5,10,0.6
258,2/8/2010,3/10/2010,보성군,전라남도 보성군득량면 예당리3046-2번지  ,여수기상대(168),34.7633,127.2123,2.8,,,,
259,11/10/2009,,강진군,전라남도 강진군강진읍 금릉1길48 전남수산기술사업소 강진지소,목포기상대(165),34.6261,126.7689,12.5,13.9,1.5,10,0.6
260,1/21/1972,,장흥,전라남도 장흥군장흥읍 축내리271-11  ,목포기상대(165),34.6888,126.9195,45.02,46.3,1.5,10,0.8
261,2/3/1971,,해남,전라남도 해남군해남읍 남천리175-1 해남자동기상관측소 ,목포기상대(165),34.5538,126.5691,16.36,17.91,1.5,10,0.8
262,8/25/2017,,고흥,전라남도 고흥군고흥읍 행정리483-1번지  ,여수기상대(168),34.6183,127.2757,51.91,53.31,1.5,10,0.8
262,1/22/1972,8/25/2017,고흥,전라남도 고흥군고흥읍 행정리483-1번지  ,여수기상대(168),34.6182,127.2757,53.12,54.6,1.5,10,0.6
263,6/21/2010,,의령군,경상남도 의령군의합대로 44-54의령종합환경관리사업소  ,창원기상대(155),35.3226,128.2881,14.18,14.9,2,10,0.6
264,6/21/2010,,함양군,경상남도 함양군함양읍 용평리915-202  ,창원기상대(155),35.5114,127.7454,151.2,152.5,1.8,10,0.6
265,7/15/1971,3/27/2007,성산포,,,33.3868,126.8804,18.62,20.48,1.8,10.2,0.6
266,8/25/2017,,광양시,전라남도 광양시중동 산109-3  ,광주지방기상청(156),34.9434,127.6914,86.7,87.9,1.7,10,0.6
266,1/1/2011,8/25/2017,광양시,전라남도 광양시중동 산109-3  ,광주지방기상청(156),34.943,127.691,80.9,82.4,1.7,10,0.6
268,5/9/2014,,진도군,전라남도 진도군진도읍 남동리291  ,목포기상대(165),34.4731,126.2585,5.4,6.9,1.7,10,0.6
271,1/1/1988,,봉화,,대구(구 143),36.9436,128.9145,324.67,326.22,1.9,10,0.6
272,11/28/1972,,영주,경상북도 영주시풍기읍 남원로178(성내리 240-55) 영주자동기상관측소,안동기상대(136),36.8718,128.5169,211.32,212.78,1.91,10,0.58
273,1/1/1973,,문경,,대구(구 143),36.6273,128.1488,173.01,174.51,1.8,10,0.6
276,9/1/2010,,청송군,경상북도 청송군청송읍 길안청송로1591-9(덕리 519-1) 청송군공동협력기상관측소,안동기상대(136),36.4351,129.0401,208.65,210.2,1.75,10,0.5
277,1/3/1972,,영덕,,포항기상대(138),36.5334,129.4093,40.71,42.01,1.7,10,0.6
278,1/1/1973,,의성,,대구(구 143),36.3561,128.6886,81.44,82.94,1.7,10,0.6
279,1/1/1973,,구미,,대구(구 143),36.1306,128.3206,49.17,50.67,1.7,10,1.4
281,1/21/1972,,영천,,대구(구 143),35.9774,128.9514,96.12,97.62,1.7,10,0.5
283,8/6/2010,,경주시,,포항기상대(138),35.8174,129.2009,40.13,41.63,1.67,10,0.59
284,3/4/2011,,거창,경상남도 거창군거창읍 수남로2117 거창지역기상서비스센터 ,울산기상대(152),35.6674,127.909,225.95,227.3,1.5,10,1.3
284,1/24/1972,3/4/2011,거창,경상남도 거창군거창읍 수남로2117 거창지역기상서비스센터 ,거창기상대(284),35.6712,127.911,221.4,222.6,1.5,10,0.5
285,1/1/1973,,합천,경상남도 합천군합천읍 동서로164번 합천자동기상관측소 ,울산기상대(152),35.565,128.1699,32,33.2,1.5,10,0.5
288,1/1/1973,,밀양,경상남도 밀양시점필재로 5밀양자동기상관측소  ,울산기상대(152),35.4915,128.7441,11.21,12.5,2,10,1.3
289,3/30/1972,,산청,경상남도 산청군산청읍 꽃봉산로133번길 3 산청관측소,창원기상대(155),35.413,127.8791,138.07,138.8,1.6,10,0.6
294,1/24/1972,,거제,경상남도 거제시장평2로 2길47 거제기상관측소 ,부산지방기상청(159),34.8882,128.6045,45.4,46.7,1.7,10,0.6
295,1/24/1972,,남해,경상남도 남해군이동면 남해대로2423 남해자동기상관측소 ,부산지방기상청(159),34.8166,127.9264,45.71,47.01,1.8,10,0.8
